"","zip","gross_income","num_dependents","adj_gross_income","total_income_returns","total_income_amount","agi_salaries_wages_returns","agi_salaries_wages_amount","farm_returns","unemployment_compensation_returns","unemployment_compensation_amount","state_local_income_tax_returns","state_local_income_tax_amount","state_local_general_sales_returns","state_local_general_sales_amount","real_estate_returns","real_estate_amount","taxes_paid_returns","taxes_paid_amount","taxable_income_returns","taxable_income_amount","child_tax_credit_returns","child_tax_credit_amount","total_tax_payments_returns","total_tax_payments_amount","tax_due_at_filing_returns","tax_due_at_filing_amount","overpayments_refunded_returns","overpayments_refunded_amount"
"2180",37843,"$25,000 under $50,000",240,14662,410,14777,350,11606,40,30,64,0,0,60,70,50,71,60,147,390,7015,90,81,390,1721,50,95,350,1005
"2181",37843,"$50,000 under $75,000",170,14712,240,14865,210,12072,30,30,52,0,0,30,55,30,54,40,127,240,9330,70,105,230,1756,30,78,200,675
"2182",37843,"$75,000 under $100,000",80,9296,110,9379,100,7172,30,0,0,0,0,30,54,30,39,30,103,110,6674,50,67,110,1183,20,33,90,332
"2183",37843,"$100,000 under $200,000",60,14639,100,14837,80,9573,0,0,0,0,0,30,96,30,75,40,210,100,11839,0,0,100,2476,30,187,60,250
"2184",37843,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2185",37846,"Total",1480,80423,1990,81148,1740,62642,180,120,371,0,0,150,321,150,203,190,579,1410,46729,400,454,1920,11229,250,639,1710,4780
"2186",37846,"$1 under $25,000",530,11746,910,11923,730,9233,40,50,148,0,0,0,0,0,0,0,0,360,2050,50,14,850,2293,60,54,810,1911
"2187",37846,"$25,000 under $50,000",500,19288,540,19400,500,16608,40,40,101,0,0,50,60,40,47,60,117,510,8592,170,148,530,2400,60,83,480,1536
"2188",37846,"$50,000 under $75,000",220,16861,270,16959,260,14385,30,30,122,0,0,30,58,30,27,40,87,270,10876,100,153,270,1864,50,105,230,634
"2189",37846,"$75,000 under $100,000",120,11750,140,11807,130,9760,30,0,0,0,0,20,41,20,29,30,77,140,8379,50,90,140,1399,30,68,110,375
"2190",37846,"$100,000 under $200,000",110,20778,130,21059,120,12656,40,0,0,0,0,50,162,60,100,60,298,130,16832,30,49,130,3273,50,329,80,324
"2191",37846,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2192",37847,"Total",780,32622,910,32814,790,26894,30,80,193,0,0,40,74,40,54,70,208,600,16513,180,215,880,4457,100,145,790,2350
"2193",37847,"$1 under $25,000",300,5330,420,5398,340,4113,0,60,139,0,0,0,0,0,0,0,0,140,780,0,0,400,1162,0,0,390,993
"2194",37847,"$25,000 under $50,000",260,9280,260,9325,240,8242,0,0,0,0,0,0,0,20,18,0,0,240,4137,100,86,260,1226,50,42,230,811
"2195",37847,"$50,000 under $75,000",120,8289,140,8340,130,7380,30,20,54,0,0,40,74,0,0,40,71,140,4994,50,86,140,860,20,25,120,320
"2196",37847,"$75,000 under $100,000",50,3848,50,3876,40,2778,0,0,0,0,0,0,0,20,36,30,137,40,2628,30,43,40,427,30,78,30,96
"2197",37847,"$100,000 under $200,000",50,5875,40,5875,40,4381,0,0,0,0,0,0,0,0,0,0,0,40,3974,0,0,40,782,0,0,20,130
"2198",37847,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2199",37848,"Total",70,4461,120,4461,100,3617,20,0,0,0,0,0,0,0,0,0,0,80,2591,20,23,110,538,0,0,90,249
"2200",37848,"$1 under $25,000",30,600,50,600,30,468,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,105,0,0,40,94
"2201",37848,"$25,000 under $50,000",40,1507,40,1507,40,1361,0,0,0,0,0,0,0,0,0,0,0,50,864,20,23,40,182,0,0,50,155
"2202",37848,"$50,000 under $75,000",0,2354,30,2354,30,1788,0,0,0,0,0,0,0,0,0,0,0,30,1727,0,0,30,251,0,0,0,0
"2203",37848,"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
